Ref	Traits	MeSH_Term	MeSH_ID	MeSH_Tree	MeSH_Cat	MeSH_Group	MeSH_Anatomy	MeSH_Anatomy_Category	Ref-Category	Note
Kim 2021	Atherosclerosis of aorta	Atherosclerosis	D050197	C14.907.137.126.307	Disease	Cardiovascular Diseases	Blood Vessels	Cardiovascular System	Cardiovascular Diseases	GWAS=-; Phecode=440.9
Kim 2021	Atherosclerosis of native arteries of the extremities with intermittent claudication	Atherosclerosis	D050197	C14.907.137.126.307	Disease	Cardiovascular Diseases	Blood Vessels	Cardiovascular System	Cardiovascular Diseases	GWAS=-; Phecode=440.22
Kim 2021	Atherosclerosis of native arteries of the extremities with ulceration or gangrene	Atherosclerosis	D050197	C14.907.137.126.307	Disease	Cardiovascular Diseases	Blood Vessels	Cardiovascular System	Cardiovascular Diseases	GWAS=-; Phecode=440.21
Kim 2021	Atherosclerosis of renal artery	Atherosclerosis	D050197	C14.907.137.126.307	Disease	Cardiovascular Diseases	Blood Vessels	Cardiovascular System	Cardiovascular Diseases	GWAS=-; Phecode=440.1
Kim 2021	Atherosclerosis of the extremities	Atherosclerosis	D050197	C14.907.137.126.307	Disease	Cardiovascular Diseases	Blood Vessels	Cardiovascular System	Cardiovascular Diseases	GWAS=-; Phecode=440.2
Donertas 2020	Atrial fibrillation	Atrial Fibrillation	D001281	C14.280.067.198	Disease	Cardiovascular Diseases	Heart	Cardiovascular System	cardiovascular	Age-of-onset Cluster=1; -
Kim 2021	Atrial fibrillation	Atrial Fibrillation	D001281	C14.280.067.198	Disease	Cardiovascular Diseases	Heart	Cardiovascular System	Cardiovascular Diseases	GWAS=EFO_0000275; Phecode=427.21
Kim 2021	Supraventricular premature beats	Atrial Premature Complexes	D018880	C14.280.067.325.250	Disease	Cardiovascular Diseases	Heart	Cardiovascular System	Cardiovascular Diseases	GWAS=-; Phecode=427.61
Kim 2021	First degree AV block	Atrioventricular Block	D054537	C14.280.067.558.230	Disease	Cardiovascular Diseases	Heart	Cardiovascular System	Cardiovascular Diseases	GWAS=-; Phecode=426.21
Kim 2021	Second degree AV block	Atrioventricular Block	D054537	C14.280.067.558.230	Disease	Cardiovascular Diseases	Heart	Cardiovascular System	Cardiovascular Diseases	GWAS=-; Phecode=426.23
Kim 2021	Peripheral autonomic neuropathy	Autonomic Nervous System Diseases	D001342	C10.177	Disease	Nervous System Diseases	Peripheral Nerves	Nervous System	Nervous System Diseases	GWAS=-; Phecode=337.1
Donertas 2020	Back pain	Back Pain	D001416	C23.888.592.612.107	Disease	"Pathological Conditions, Signs and Symptoms"	Unspecified	Unspecified	musculoskeletal/trauma	Age-of-onset Cluster=2; -
Kim 2021	Back pain	Back Pain	D001416	C23.888.592.612.107	Disease	"Pathological Conditions, Signs and Symptoms"	Unspecified	Unspecified	"Pathological Conditions, Signs and Symptoms"	GWAS=HP_0003418; Phecode=760
Donertas 2020	Back problem	Back Pain	D001416	C23.888.592.612.107	Disease	"Pathological Conditions, Signs and Symptoms"	Unspecified	Unspecified	musculoskeletal/trauma	Age-of-onset Cluster=2; -
Kim 2021	Barrett's esophagus	Barrett Esophagus	D001471	C04.834.154	Disease	Neoplasms	Esophagus	Digestive System	Neoplasms	GWAS=EFO_0000280; Phecode=530.13
Kim 2021	Extrapyramidal disease and abnormal movement disorders	Basal Ganglia Diseases	D001480	C10.228.140.079	Disease	Nervous System Diseases	Unspecified	Unspecified	Nervous System Diseases	GWAS=-; Phecode=333
Kim 2021	"Abnormal tumor markers, elevated CEA or CA 125"	"Biomarkers, Tumor"	D014408	D23.101.140	Chemical	Chemical	Serum	Fluids and Secretions	Chemical	GWAS=-; Phecode=795.8
Kim 2021	Blindness and low vision	Blindness	D001766	C10.597.751.941.162	Disease	Nervous System Diseases	Eye	Sense Organs	Nervous System Diseases	GWAS=-; Phecode=367.9
Chang 2019	Other vision loss	Blindness	D001766	C10.597.751.941.162	Disease	Nervous System Diseases	Eye	Sense Organs	Sense organ diseases	Not-equivalent
Johnson 2015	Fasting blood glucose measurement	Blood Glucose	D001786	D09.947.875.359.448.500	Chemical	Chemical	Serum	Fluids and Secretions	-	GWAS=EFO_0004465; Phecode=-
Johnson 2015	Blood pressure	Blood Pressure	D001794	E01.370.600.875.249	Diagnosis	Diagnosis	Blood	Hemic and Immune Systems	-	GWAS=EFO_0004325; Phecode=-
Johnson 2015	Diastolic blood pressure	Blood Pressure	D001794	E01.370.600.875.249	Diagnosis	Diagnosis	Blood	Hemic and Immune Systems	-	GWAS=EFO_0006336; Phecode=-
Johnson 2015	Systolic blood pressure	Blood Pressure	D001794	E01.370.600.875.249	Diagnosis	Diagnosis	Blood	Hemic and Immune Systems	-	GWAS=EFO_0006335; Phecode=-
Johnson 2015	Body mass index	Body Mass Index	D015992	E01.370.600.115.100.125	Diagnosis	Diagnosis	Unspecified	Unspecified	-	GWAS=EFO_0004340; Phecode=-
Johnson 2015	Bone density	Bone Density	D015519	G11.427.100	Phenomena	Phenomena	Bone and Bones	Musculoskeletal System	-	GWAS=EFO_0003923; Phecode=-
Johnson 2015	Femoral neck bone mineral density	Bone Density	D015519	G11.427.100	Phenomena	Phenomena	Bone and Bones	Musculoskeletal System	-	GWAS=EFO_0007785; Phecode=-
Johnson 2015	Heel bone mineral density	Bone Density	D015519	G11.427.100	Phenomena	Phenomena	Bone and Bones	Musculoskeletal System	-	GWAS=EFO_0009270; Phecode=-
Johnson 2015	Hip bone mineral density	Bone Density	D015519	G11.427.100	Phenomena	Phenomena	Bone and Bones	Musculoskeletal System	-	GWAS=EFO_0007702; Phecode=-
Johnson 2015	Radius bone mineral density	Bone Density	D015519	G11.427.100	Phenomena	Phenomena	Bone and Bones	Musculoskeletal System	-	GWAS=EFO_0007933; Phecode=-
Johnson 2015	Spine bone mineral density	Bone Density	D015519	G11.427.100	Phenomena	Phenomena	Bone and Bones	Musculoskeletal System	-	GWAS=EFO_0007701; Phecode=-
Johnson 2015	Volumetric bone mineral density	Bone Density	D015519	G11.427.100	Phenomena	Phenomena	Bone and Bones	Musculoskeletal System	-	GWAS=EFO_0007620; Phecode=-
Donertas 2020	Bone disorder	"Bone Diseases, Metabolic"	D001851	C05.116.198	Disease	Musculoskeletal Diseases	Bone and Bones	Musculoskeletal System	musculoskeletal/trauma	Age-of-onset Cluster=1; -
Kim 2021	Osteopenia	"Bone Diseases, Metabolic"	D001851	C05.116.198	Disease	Musculoskeletal Diseases	Bone and Bones	Musculoskeletal System	Musculoskeletal Diseases	GWAS=-; Phecode=743.9
Kim 2021	Secondary malignancy of bone	Bone Neoplasm	D001859	C04.588.149	Disease	Neoplasms	Bone and Bones	Musculoskeletal System	Neoplasms	GWAS=-; Phecode=198.6
Kim 2021	"Abnormal findings on study of brain, nervous system"	Brain	D001921	A08.186.211	Anatomy	Anatomy	Brain	Nervous System	Anatomy	GWAS=-; Phecode=346
Kim 2021	Other cerebral degenerations	Brain Diseases	D001927	C10.228.140	Disease	Nervous System Diseases	Brain	Nervous System	Nervous System Diseases	GWAS=-; Phecode=331
Kim 2021	Cerebral ischemia	Brain Ischemia	D002545	C10.228.140.300.150	Disease	Nervous System Diseases	Brain	Nervous System	Nervous System Diseases	GWAS=-; Phecode=433.3
Chang 2019	Brain and nervous system cancer	Brain Neoplasms	D001932	C04.588.614.250.195	Disease	Neoplasms	Brain	Nervous System	Neoplasms	-
Kim 2021	Brain cancer	Brain Neoplasms	D001932	C04.588.614.250.195	Disease	Neoplasms	Brain	Nervous System	Neoplasms	GWAS=-; Phecode=191.11
Kim 2021	Acquired absence of breast	Breast	D001940	A01.236	Anatomy	Anatomy	Breast	Body Regions	Anatomy	GWAS=-; Phecode=175
Kim 2021	Lump or mass in breast	Breast	D001940	A01.236	Anatomy	Anatomy	Breast	Body Regions	Anatomy	GWAS=-; Phecode=611.3
Kim 2021	Mammographic microcalcification	Breast Diseases	D001941	C17.800.090	Disease	Skin and Connective Tissue Diseases	Breast	Body Regions	Skin and Connective Tissue Diseases	GWAS=-; Phecode=611.11
Kim 2021	Breast cancer	Breast Neoplasms	D001943	C04.588.180	Disease	Neoplasms	Breast	Body Regions	Neoplasms	GWAS=-; Phecode=174
Chang 2019	Breast cancer	Breast Neoplasms	D001943	C04.588.180	Disease	Neoplasms	Breast	Body Regions	Neoplasms	-
Kim 2021	"Breast cancer, including in situ"	Breast Neoplasms	D001943	C04.588.180	Disease	Neoplasms	Breast	Body Regions	Neoplasms	GWAS=-; Phecode=174.1
Kim 2021	Breast carcinoma	Breast Neoplasms	D001943	C04.588.180	Disease	Neoplasms	Breast	Body Regions	Neoplasms	GWAS=EFO_0000305; Phecode=-
Kim 2021	Estrogen-receptor negative breast cancer	Breast Neoplasms	D001943	C04.588.180	Disease	Neoplasms	Breast	Body Regions	Neoplasms	GWAS=EFO_1000650; Phecode=-
Kim 2021	Estrogen-receptor positive breast cancer	Breast Neoplasms	D001943	C04.588.180	Disease	Neoplasms	Breast	Body Regions	Neoplasms	GWAS=EFO_1000649; Phecode=-
Kim 2021	Bronchiectasis	Bronchiectasis	D001987	C08.127.384	Disease	Respiratory Tract Diseases	Lung	Respiratory System	Respiratory Tract Diseases	GWAS=-; Phecode=496.3
Kim 2021	Bundle branch block	Bundle-Branch Block	D002037	C14.280.067.558.323	Disease	Cardiovascular Diseases	Heart	Cardiovascular System	Cardiovascular Diseases	GWAS=-; Phecode=426.3
Kim 2021	Left bundle branch block	Bundle-Branch Block	D002037	C14.280.067.558.323	Disease	Cardiovascular Diseases	Heart	Cardiovascular System	Cardiovascular Diseases	GWAS=-; Phecode=426.32
Kim 2021	Right bundle branch block	Bundle-Branch Block	D002037	C14.280.067.558.323	Disease	Cardiovascular Diseases	Heart	Cardiovascular System	Cardiovascular Diseases	GWAS=-; Phecode=426.31
Kim 2021	Bursitis	Bursitis	D002062	C05.550.251	Disease	Musculoskeletal Diseases	Joints	Musculoskeletal System	Musculoskeletal Diseases	GWAS=-; Phecode=726.3
Kim 2021	Cachexia	Cachexia	D002100	C23.888.144.243.963.500.500	Disease	"Pathological Conditions, Signs and Symptoms"	"Muscle, Skeletal"	Musculoskeletal System	"Pathological Conditions, Signs and Symptoms"	GWAS=-; Phecode=260.1
Kim 2021	Corns and callosities	Callosities	D002145	C17.800.428.200	Disease	Skin and Connective Tissue Diseases	Skin	Integumentary System	Skin and Connective Tissue Diseases	GWAS=-; Phecode=700
Kim 2021	Basal cell carcinoma	"Carcinoma, Basal Cell"	D002280	C04.557.470.200.165	Disease	Neoplasms	Skin	Integumentary System	Neoplasms	GWAS=EFO_0004193; Phecode=-
Kim 2021	Hepatocellular carcinoma	"Carcinoma, Hepatocellular"	D006528	C04.557.470.200.025.255	Disease	Neoplasms	Liver	Digestive System	Neoplasms	GWAS=EFO_0000182; Phecode=-
Kim 2021	Secondary malignant neoplasm of liver	"Carcinoma, Hepatocellular"	D006528	C04.557.470.200.025.255	Disease	Neoplasms	Liver	Digestive System	Neoplasms	GWAS=-; Phecode=198.4
Kim 2021	Non-Small cell lung carcinoma	"Carcinoma, Non-Small-Cell Lung"	D002289	C04.588.894.797.520.109.220.249	Disease	Neoplasms	Lung	Respiratory System	Neoplasms	GWAS=EFO_0003060; Phecode=-
Kim 2021	Renal cell carcinoma	"Carcinoma, Renal Cell"	D002292	C04.557.470.200.025.390	Disease	Neoplasms	Kidney	Urogenital System	Neoplasms	GWAS=EFO_0000681; Phecode=189.11
Kim 2021	Keratinocyte carcinoma	"Carcinoma, Squamous Cell"	D002294	C04.557.470.200.400	Disease	Neoplasms	Skin	Integumentary System	Neoplasms	GWAS=EFO_0010176; Phecode=-
Kim 2021	Squamous cell carcinoma	"Carcinoma, Squamous Cell"	D002294	C04.557.470.200.400	Disease	Neoplasms	Skin	Integumentary System	Neoplasms	GWAS=EFO_0000707; Phecode=-
Kim 2021	Other cardiac conduction disorders	Cardiac Conduction System Disease	D000075224	C14.280.123	Disease	Cardiovascular Diseases	Heart	Cardiovascular System	Cardiovascular Diseases	GWAS=-; Phecode=426.8
Kim 2021	Cardiomegaly	Cardiomegaly	D006332	C14.280.195	Disease	Cardiovascular Diseases	Heart	Cardiovascular System	Cardiovascular Diseases	GWAS=-; Phecode=416
Kim 2021	Cardiomyopathy	Cardiomyopathies	D009202	C14.280.238	Disease	Cardiovascular Diseases	Heart	Cardiovascular System	Cardiovascular Diseases	GWAS=-; Phecode=425
Chang 2019	Other cardiomyopathy	Cardiomyopathies	D009202	C14.280.238	Disease	Cardiovascular Diseases	Heart	Cardiovascular System	Cardiovascular diseases	-
Kim 2021	Primary/Intrinsic cardiomyopathies	Cardiomyopathies	D009202	C14.280.238	Disease	Cardiovascular Diseases	Heart	Cardiovascular System	Cardiovascular Diseases	GWAS=-; Phecode=425.1
Kim 2021	Secondary/Extrinsic cardiomyopathies	Cardiomyopathies	D009202	C14.280.238	Disease	Cardiovascular Diseases	Heart	Cardiovascular System	Cardiovascular Diseases	GWAS=-; Phecode=425.2
Kim 2021	Idiopathic dilated cardiomyopathy	"Cardiomyopathy, Dilated"	D002311	C14.280.195.160	Disease	Cardiovascular Diseases	Heart	Cardiovascular System	Cardiovascular Diseases	GWAS=EFO_0009094; Phecode=-
Kim 2021	Abnormal function study of cardiovascular system	Cardiovascular Diseases	D002318	C14	Disease	Cardiovascular Diseases	Cardiovascular System	Cardiovascular System	Cardiovascular Diseases	GWAS=-; Phecode=429.2
Donertas 2020	Cardiovascular	Cardiovascular Diseases	D002318	C14	Disease	Cardiovascular Diseases	Cardiovascular System	Cardiovascular System	cardiovascular	Age-of-onset Cluster=1; -
Kim 2021	Cardiovascular disease	Cardiovascular Diseases	D002318	C14	Disease	Cardiovascular Diseases	Cardiovascular System	Cardiovascular System	Cardiovascular Diseases	GWAS=EFO_0000319; Phecode=-
Kim 2021	Circulatory disease NEC	Cardiovascular Diseases	D002318	C14	Disease	Cardiovascular Diseases	Cardiovascular System	Cardiovascular System	Cardiovascular Diseases	GWAS=-; Phecode=459.9
Chang 2019	Other cardiovascular and circulatory diseases	Cardiovascular Diseases	D002318	C14	Disease	Cardiovascular Diseases	Cardiovascular System	Cardiovascular System	Cardiovascular diseases	-
Kim 2021	Other disorders of circulatory system	Cardiovascular Diseases	D002318	C14	Disease	Cardiovascular Diseases	Cardiovascular System	Cardiovascular System	Cardiovascular Diseases	GWAS=-; Phecode=459
Kim 2021	Cataract	Cataract	D002386	C11.510.245	Disease	Eye Diseases	Eye	Sense Organs	Eye Diseases	GWAS=EFO_0001059; Phecode=366
Donertas 2020	Cataract	Cataract	D002386	C11.510.245	Disease	Eye Diseases	Eye	Sense Organs	neurology/eye/psychiatry	Age-of-onset Cluster=1; -
Chang 2019	Cataract	Cataract	D002386	C11.510.245	Disease	Eye Diseases	Eye	Sense Organs	Sense organ diseases	-
Kim 2021	Nonsenile Cataract	Cataract	D002386	C11.510.245	Disease	Eye Diseases	Eye	Sense Organs	Eye Diseases	GWAS=-; Phecode=366.1
Chang 2019	Cellulitis	Cellulitis	D002481	C01.800.130	Disease	Infections	Skin	Integumentary System	Skin and subcutaneous diseases	-
Kim 2021	Cancer of brain and nervous system	Central Nervous System Neoplasms	D016543	C04.588.614.250	Disease	Neoplasms	Brain	Nervous System	Neoplasms	GWAS=-; Phecode=191.1
Kim 2021	Malignant neoplasm of brain and nervous system	Central Nervous System Neoplasms	D016543	C04.588.614.250	Disease	Neoplasms	Brain	Nervous System	Neoplasms	GWAS=-; Phecode=191
Kim 2021	Secondary malignancy of brain/spine	Central Nervous System Neoplasms	D016543	C04.588.614.250	Disease	Neoplasms	Brain	Nervous System	Neoplasms	GWAS=-; Phecode=198.5
Chang 2019	Intracerebral haemorrhage	Cerebral Hemorrhage	D002543	C10.228.140.300.535.200	Disease	Nervous System Diseases	Brain	Nervous System	Cardiovascular diseases	-
Kim 2021	Intracerebral hemorrhage	Cerebral Hemorrhage	D002543	C10.228.140.300.535.200	Disease	Nervous System Diseases	Brain	Nervous System	Nervous System Diseases	GWAS=EFO_0005669; Phecode=430.2
Kim 2021	Non-Lobar intracerebral hemorrhage	Cerebral Hemorrhage	D002543	C10.228.140.300.535.200	Disease	Nervous System Diseases	Brain	Nervous System	Nervous System Diseases	GWAS=EFO_0010178; Phecode=-
Kim 2021	"Occlusion of cerebral arteries, with cerebral infarction"	Cerebral Infarction	D002544	C10.228.140.300.150.477.200	Disease	Nervous System Diseases	Brain	Nervous System	Nervous System Diseases	GWAS=-; Phecode=433.11
Kim 2021	"Acute, but ill-defined cerebrovascular disease"	Cerebrovascular Disorders	D002561	C10.228.140.300	Disease	Nervous System Diseases	Brain	Nervous System	Nervous System Diseases	GWAS=-; Phecode=433.6
Donertas 2020	Cerebrovascular disease	Cerebrovascular Disorders	D002561	C10.228.140.300	Disease	Nervous System Diseases	Brain	Nervous System	cardiovascular	Age-of-onset Cluster=1; -
Kim 2021	Cerebrovascular disease	Cerebrovascular Disorders	D002561	C10.228.140.300	Disease	Nervous System Diseases	Brain	Nervous System	Nervous System Diseases	GWAS=-; Phecode=433
Kim 2021	Late effects of cerebrovascular disease	Cerebrovascular Disorders	D002561	C10.228.140.300	Disease	Nervous System Diseases	Brain	Nervous System	Nervous System Diseases	GWAS=-; Phecode=433.8
Kim 2021	Occlusion of cerebral arteries	Cerebrovascular Disorders	D002561	C10.228.140.300	Disease	Nervous System Diseases	Brain	Nervous System	Nervous System Diseases	GWAS=-; Phecode=433.2
Kim 2021	Cervical intraepithelial neoplasia (Cervical dysplasia)	Cervical Intraepithelial Neoplasia	D018290	C04.557.470.200.240.250	Disease	Neoplasms	Cervix Uteri	Urogenital System	Neoplasms	GWAS=-; Phecode=180.3
Johnson 2015	HDL cholesterol change measurement	"Cholesterol, HDL"	D008076	D04.210.500.247.808.197.238	Chemical	Chemical	Serum	Fluids and Secretions	-	GWAS=EFO_0007805; Phecode=-
Johnson 2015	High density lipoprotein cholesterol measurement	"Cholesterol, HDL"	D008076	D04.210.500.247.808.197.238	Chemical	Chemical	Serum	Fluids and Secretions	-	GWAS=EFO_0004612; Phecode=-
Johnson 2015	LDL cholesterol change measurement	"Cholesterol, LDL"	D008078	D04.210.500.247.808.197.244	Chemical	Chemical	Serum	Fluids and Secretions	-	GWAS=EFO_0007804; Phecode=-
